CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Combinatorial[0];SAL;12;0;0;1012;1.000;1.000;1.000
SVM_RBF[2.0];Combinatorial[0];SAL;4;0;8;1012;1.000;0.333;0.500
SVM_Sigmoid[0.1];Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Linear;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Combinatorial[0];SAL;12;0;0;1012;1.000;1.000;1.000
HoeffdingTree;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
IBk;Combinatorial[0];SAL;12;0;0;1012;1.000;1.000;1.000
KStar;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
LWL;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
SVM_RBF[2.0];Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
SVM_Sigmoid[0.1];Combinatorial[0];Mobile Game;75;5;60;884;0.938;0.556;0.698
SVM_Linear;Combinatorial[0];Mobile Game;109;23;26;866;0.826;0.807;0.816
SVM_Puk[1.0, 0.1];Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
HoeffdingTree;Combinatorial[0];Mobile Game;75;5;60;884;0.938;0.556;0.698
IBk;Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
KStar;Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
LWL;Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];VODPlayer;48;0;0;976;1.000;1.000;1.000
SVM_RBF[2.0];Combinatorial[0];VODPlayer;48;0;0;976;1.000;1.000;1.000
SVM_Sigmoid[0.1];Combinatorial[0];VODPlayer;0;0;48;976;NaN;0.000;NaN
SVM_Linear;Combinatorial[0];VODPlayer;48;16;0;960;0.750;1.000;0.857
SVM_Puk[1.0, 0.1];Combinatorial[0];VODPlayer;48;0;0;976;1.000;1.000;1.000
